file,m,j,d,p,i,cp_1s_solution,cp_1s_optimal,cp_5s_solution,cp_5s_optimal,cp_10s_solution,cp_10s_optimal,cp_20s_solution,cp_20s_optimal,cp_50s_solution,cp_50s_optimal,cp_100s_solution,cp_100s_optimal,cp_1800s_solution,cp_1800s_optimal
m15j10d100p20_0.csv.out,15,10,100,20,0,20022,0,20022,0,20022,0,20022,0,2,0,2,0,20022,1
m15j10d100p20_1.csv.out,15,10,100,20,1,30014,0,20031,0,20031,0,20031,0,2,0,2,0,20020,1
m15j10d100p20_2.csv.out,15,10,100,20,2,30049,0,30041,0,30041,0,30041,0,3,0,3,0,30041,1
m15j10d100p20_3.csv.out,15,10,100,20,3,20016,0,20016,0,20016,0,20016,0,2,0,2,0,20016,1
m15j10d100p20_4.csv.out,15,10,100,20,4,30053,0,30053,0,30052,0,30052,0,3,0,3,0,30052,0
m15j10d100p40_0.csv.out,15,10,100,40,0,40132,0,30143,0,30143,0,30143,0,3,0,3,0,30143,1
m15j10d100p40_1.csv.out,15,10,100,40,1,30091,0,30088,0,30088,0,30088,0,3,0,3,0,30088,0
m15j10d100p40_2.csv.out,15,10,100,40,2,30083,0,30082,0,30082,0,30070,0,3,0,3,0,30070,0
m15j10d100p40_3.csv.out,15,10,100,40,3,30124,0,30124,0,30124,0,30124,0,3,0,3,0,30124,0
m15j10d100p40_4.csv.out,15,10,100,40,4,40118,0,40118,0,40118,0,40118,0,4,0,4,0,40118,0
m15j20d100p20_0.csv.out,15,20,100,20,0,60127,0,50108,0,50108,0,40116,0,4,0,4,0,40116,0
m15j20d100p20_1.csv.out,15,20,100,20,1,100198,0,80227,0,80227,0,80220,0,7,0,7,0,80184,0
m15j20d100p20_2.csv.out,15,20,100,20,2,100386,0,90267,0,70247,0,70247,0,8,0,7,0,70246,0
m15j20d100p20_3.csv.out,15,20,100,20,3,70256,0,70183,0,70172,0,70165,0,6,0,6,0,60178,0
m15j20d100p20_4.csv.out,15,20,100,20,4,70214,0,50179,0,50175,0,50149,0,5,0,5,0,50144,0
m15j20d100p40_0.csv.out,15,20,100,40,0,90670,0,80508,0,80508,0,80508,0,7,0,7,0,70531,0
m15j20d100p40_1.csv.out,15,20,100,40,1,60243,0,40188,0,40188,0,40169,0,3,0,3,0,30185,0
m15j20d100p40_2.csv.out,15,20,100,40,2,70492,0,60490,0,60490,0,60442,0,6,0,6,0,60414,0
m15j20d100p40_3.csv.out,15,20,100,40,3,50284,0,50251,0,50243,0,50243,0,4,0,4,0,40209,0
m15j20d100p40_4.csv.out,15,20,100,40,4,110530,0,90578,0,80481,0,80481,0,7,0,7,0,70486,0
m15j30d100p20_0.csv.out,15,30,100,20,0,170458,0,130583,0,120551,0,120526,0,12,0,12,0,120520,0
m15j30d100p20_1.csv.out,15,30,100,20,1,181080,0,130553,0,130533,0,130508,0,12,0,11,0,120447,0
m15j30d100p20_2.csv.out,15,30,100,20,2,180579,0,130597,0,130596,0,130596,0,12,0,12,0,130549,0
m15j30d100p20_3.csv.out,15,30,100,20,3,210692,0,180895,0,160917,0,160817,0,15,0,15,0,150749,0
m15j30d100p20_4.csv.out,15,30,100,20,4,160314,0,130405,0,110425,0,100434,0,10,0,10,0,90346,0
m15j30d100p40_0.csv.out,15,30,100,40,0,151147,0,131145,0,121045,0,120991,0,12,0,12,0,120991,0
m15j30d100p40_1.csv.out,15,30,100,40,1,201297,0,161376,0,161295,0,161245,0,14,0,14,0,141204,0
m15j30d100p40_2.csv.out,15,30,100,40,2,191168,0,161434,0,151430,0,141380,0,14,0,14,0,141258,0
m15j30d100p40_3.csv.out,15,30,100,40,3,191467,0,161550,0,151609,0,151462,0,14,0,14,0,141471,0
m15j30d100p40_4.csv.out,15,30,100,40,4,171263,0,151407,0,141265,0,131265,0,13,0,12,0,131237,0
m15j40d100p20_0.csv.out,15,40,100,20,0,200625,0,140792,0,140639,0,130569,0,12,0,12,0,120495,0
m15j40d100p20_1.csv.out,15,40,100,20,1,201223,0,161094,0,151062,0,151053,0,15,0,14,0,151017,0
m15j40d100p20_2.csv.out,15,40,100,20,2,200858,0,161040,0,160935,0,160875,0,15,0,15,0,140816,0
m15j40d100p20_3.csv.out,15,40,100,20,3,231200,0,181111,0,181002,0,160973,0,16,0,16,0,150986,0
m15j40d100p20_4.csv.out,15,40,100,20,4,211223,0,181158,0,171125,0,171118,0,16,0,16,0,151042,0
m15j40d100p40_0.csv.out,15,40,100,40,0,272752,0,203079,0,182905,0,172778,0,17,0,16,0,162561,0
m15j40d100p40_1.csv.out,15,40,100,40,1,191256,0,171241,0,161259,0,121362,0,13,0,13,0,121229,0
